"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"C4B","ENSG00000224389","","complement C4B (Chido/Rodgers blood group)(C4B)","Homo sapiens"
"C4BPA","ENSG00000123838","","complement component 4 binding protein alpha(C4BPA)","Homo sapiens"
"C4BPB","ENSG00000123843","","complement component 4 binding protein beta(C4BPB)","Homo sapiens"
"C4orf33","ENSG00000151470","","chromosome 4 open reading frame 33(C4orf33)","Homo sapiens"
"C4orf46","ENSG00000205208","","chromosome 4 open reading frame 46(C4orf46)","Homo sapiens"
"C5","ENSG00000106804","","complement C5(C5)","Homo sapiens"
"C5AR1","ENSG00000197405","","complement C5a receptor 1(C5AR1)","Homo sapiens"
"C5AR2","ENSG00000134830","","complement C5a receptor 2(C5AR2)","Homo sapiens"
"C5orf15","ENSG00000113583","","chromosome 5 open reading frame 15(C5orf15)","Homo sapiens"
"C5orf22","ENSG00000082213","","chromosome 5 open reading frame 22(C5orf22)","Homo sapiens"
"C5orf24","ENSG00000181904","","chromosome 5 open reading frame 24(C5orf24)","Homo sapiens"
"C5orf34","ENSG00000172244","","chromosome 5 open reading frame 34(C5orf34)","Homo sapiens"
"C5orf58","ENSG00000234511","","chromosome 5 open reading frame 58(C5orf58)","Homo sapiens"
"C5orf63","ENSG00000164241","","chromosome 5 open reading frame 63(C5orf63)","Homo sapiens"
"C6","ENSG00000039537","","complement C6(C6)","Homo sapiens"
"C6orf118","ENSG00000112539","","chromosome 6 open reading frame 118(C6orf118)","Homo sapiens"
"C6orf120","ENSG00000185127","","chromosome 6 open reading frame 120(C6orf120)","Homo sapiens"
"C6orf132","ENSG00000188112","","chromosome 6 open reading frame 132(C6orf132)","Homo sapiens"
"C6orf136","ENSG00000204564","","chromosome 6 open reading frame 136(C6orf136)","Homo sapiens"
"C6orf141","ENSG00000197261","","chromosome 6 open reading frame 141(C6orf141)","Homo sapiens"
"C6orf47","ENSG00000204439","","chromosome 6 open reading frame 47(C6orf47)","Homo sapiens"
"C6orf52","ENSG00000137434","","chromosome 6 open reading frame 52(C6orf52)","Homo sapiens"
"C6orf62","ENSG00000112308","","chromosome 6 open reading frame 62(C6orf62)","Homo sapiens"
"C6orf89","ENSG00000198663","","chromosome 6 open reading frame 89(C6orf89)","Homo sapiens"
"C7","ENSG00000112936","","complement C7(C7)","Homo sapiens"
"C7orf25","ENSG00000136197","","chromosome 7 open reading frame 25(C7orf25)","Homo sapiens"
"C8G","ENSG00000176919","","complement C8 gamma chain(C8G)","Homo sapiens"
"C8orf33","ENSG00000182307","","chromosome 8 open reading frame 33(C8orf33)","Homo sapiens"
"C8orf48","ENSG00000164743","","chromosome 8 open reading frame 48(C8orf48)","Homo sapiens"
"C8orf58","ENSG00000248235,ENSG00000241852","","chromosome 8 open reading frame 58(C8orf58)","Homo sapiens"
"C8orf76","ENSG00000189376","","chromosome 8 open reading frame 76(C8orf76)","Homo sapiens"
"C8orf82","ENSG00000213563","","chromosome 8 open reading frame 82(C8orf82)","Homo sapiens"
"C8orf88","ENSG00000253250","","chromosome 8 open reading frame 88(C8orf88)","Homo sapiens"
"C9","ENSG00000113600","","complement C9(C9)","Homo sapiens"
"C9orf152","ENSG00000188959","","chromosome 9 open reading frame 152(C9orf152)","Homo sapiens"
"C9orf40","ENSG00000135045","","chromosome 9 open reading frame 40(C9orf40)","Homo sapiens"
"C9orf43","ENSG00000157653","","chromosome 9 open reading frame 43(C9orf43)","Homo sapiens"
"C9orf72","ENSG00000147894","","C9orf72-SMCR8 complex subunit(C9orf72)","Homo sapiens"
"C9orf78","ENSG00000136819","","chromosome 9 open reading frame 78(C9orf78)","Homo sapiens"
"C9orf85","ENSG00000155621","","chromosome 9 open reading frame 85(C9orf85)","Homo sapiens"
"CA11","ENSG00000063180","","carbonic anhydrase 11(CA11)","Homo sapiens"
"CA12","ENSG00000074410","","carbonic anhydrase 12(CA12)","Homo sapiens"
"CA13","ENSG00000185015","","carbonic anhydrase 13(CA13)","Homo sapiens"
"CA3","ENSG00000164879","","carbonic anhydrase 3(CA3)","Homo sapiens"
"CA4","ENSG00000167434","","carbonic anhydrase 4(CA4)","Homo sapiens"
"CA5B","ENSG00000169239","","carbonic anhydrase 5B(CA5B)","Homo sapiens"
"CA8","ENSG00000178538","","carbonic anhydrase 8(CA8)","Homo sapiens"
"CA9","ENSG00000107159","","carbonic anhydrase 9(CA9)","Homo sapiens"
"CAAP1","ENSG00000120159","","caspase activity and apoptosis inhibitor 1(CAAP1)","Homo sapiens"
"CAB39","ENSG00000135932","","calcium binding protein 39(CAB39)","Homo sapiens"
"CAB39L","ENSG00000102547","","calcium binding protein 39 like(CAB39L)","Homo sapiens"
"CABCOCO1","ENSG00000183346","","ciliary associated calcium binding coiled-coil 1(CABCOCO1)","Homo sapiens"
"CABIN1","ENSG00000099991","","calcineurin binding protein 1(CABIN1)","Homo sapiens"
"CABLES1","ENSG00000134508","","Cdk5 and Abl enzyme substrate 1(CABLES1)","Homo sapiens"
"CABLES2","ENSG00000149679","","Cdk5 and Abl enzyme substrate 2(CABLES2)","Homo sapiens"
"CABP4","ENSG00000175544","","calcium binding protein 4(CABP4)","Homo sapiens"
"CABP7","ENSG00000100314","","calcium binding protein 7(CABP7)","Homo sapiens"
"CABYR","ENSG00000154040","","calcium binding tyrosine phosphorylation regulated(CABYR)","Homo sapiens"
"CACFD1","ENSG00000160325","","calcium channel flower domain containing 1(CACFD1)","Homo sapiens"
"CACHD1","ENSG00000158966","","cache domain containing 1(CACHD1)","Homo sapiens"
"CACNA1C","ENSG00000151067","","calcium voltage-gated channel subunit alpha1 C(CACNA1C)","Homo sapiens"
"CACNA1C-AS1","ENSG00000258325","","CACNA1C antisense RNA 1(CACNA1C-AS1)","Homo sapiens"
"CACNA1C-IT2","ENSG00000151067","","CACNA1C intronic transcript 2(CACNA1C-IT2)","Homo sapiens"
"CACNA1D","ENSG00000157388","","calcium voltage-gated channel subunit alpha1 D(CACNA1D)","Homo sapiens"
"CACNA1H","ENSG00000196557","","calcium voltage-gated channel subunit alpha1 H(CACNA1H)","Homo sapiens"
"CACNA2D1","ENSG00000153956","","calcium voltage-gated channel auxiliary subunit alpha2delta 1(CACNA2D1)","Homo sapiens"
"CACNA2D2","ENSG00000007402","","calcium voltage-gated channel auxiliary subunit alpha2delta 2(CACNA2D2)","Homo sapiens"
"CACNA2D3","ENSG00000157445","","calcium voltage-gated channel auxiliary subunit alpha2delta 3(CACNA2D3)","Homo sapiens"
"CACNA2D4","ENSG00000151062","","calcium voltage-gated channel auxiliary subunit alpha2delta 4(CACNA2D4)","Homo sapiens"
"CACNB1","ENSG00000067191","","calcium voltage-gated channel auxiliary subunit beta 1(CACNB1)","Homo sapiens"
"CACNB2","ENSG00000165995","","calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)","Homo sapiens"
"CACNB3","ENSG00000167535","","calcium voltage-gated channel auxiliary subunit beta 3(CACNB3)","Homo sapiens"
"CACNB4","ENSG00000283228","","calcium voltage-gated channel auxiliary subunit beta 4(CACNB4)","Homo sapiens"
"CACNG4","ENSG00000075461","","calcium voltage-gated channel auxiliary subunit gamma 4(CACNG4)","Homo sapiens"
"CACNG6","ENSG00000130433","","calcium voltage-gated channel auxiliary subunit gamma 6(CACNG6)","Homo sapiens"
"CACTIN","ENSG00000105298","","cactin, spliceosome C complex subunit(CACTIN)","Homo sapiens"
"CACTIN-AS1","ENSG00000226800","","CACTIN antisense RNA 1(CACTIN-AS1)","Homo sapiens"
"CACUL1","ENSG00000151893","","CDK2 associated cullin domain 1(CACUL1)","Homo sapiens"
"CACYBP","ENSG00000116161","","calcyclin binding protein(CACYBP)","Homo sapiens"
"CAD","ENSG00000084774","","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase(CAD)","Homo sapiens"
"CADM1","ENSG00000182985","","cell adhesion molecule 1(CADM1)","Homo sapiens"
"CADM3","ENSG00000162706","","cell adhesion molecule 3(CADM3)","Homo sapiens"
"CADM4","ENSG00000105767","","cell adhesion molecule 4(CADM4)","Homo sapiens"
"CADPS2","ENSG00000081803","","calcium dependent secretion activator 2(CADPS2)","Homo sapiens"
"CALB2","ENSG00000172137","","calbindin 2(CALB2)","Homo sapiens"
"CALCA","ENSG00000110680","","calcitonin related polypeptide alpha(CALCA)","Homo sapiens"
"CALCOCO1","ENSG00000012822","","calcium binding and coiled-coil domain 1(CALCOCO1)","Homo sapiens"
"CALCOCO2","ENSG00000136436","","calcium binding and coiled-coil domain 2(CALCOCO2)","Homo sapiens"
"CALCRL","ENSG00000064989","","calcitonin receptor like receptor(CALCRL)","Homo sapiens"
"CALD1","ENSG00000122786","","caldesmon 1(CALD1)","Homo sapiens"
"CALHM2","ENSG00000138172","","calcium homeostasis modulator family member 2(CALHM2)","Homo sapiens"
"CALHM5","ENSG00000178033","","calcium homeostasis modulator family member 5(CALHM5)","Homo sapiens"
"CALHM6","ENSG00000188820","","calcium homeostasis modulator family member 6(CALHM6)","Homo sapiens"
"CALM1","ENSG00000198668","","calmodulin 1(CALM1)","Homo sapiens"
"CALM2","ENSG00000143933","","calmodulin 2(CALM2)","Homo sapiens"
"CALM3","ENSG00000160014","","calmodulin 3(CALM3)","Homo sapiens"
"CALML4","ENSG00000129007","","calmodulin like 4(CALML4)","Homo sapiens"
"CALR","ENSG00000179218","","calreticulin(CALR)","Homo sapiens"
"CALU","ENSG00000128595","","calumenin(CALU)","Homo sapiens"
"CAMK1","ENSG00000134072","","calcium/calmodulin dependent protein kinase I(CAMK1)","Homo sapiens"
"CAMK1D","ENSG00000183049","","calcium/calmodulin dependent protein kinase ID(CAMK1D)","Homo sapiens"
"CAMK2A","ENSG00000070808","","calcium/calmodulin dependent protein kinase II alpha(CAMK2A)","Homo sapiens"
"CAMK2D","ENSG00000145349","","calcium/calmodulin dependent protein kinase II delta(CAMK2D)","Homo sapiens"
"CAMK2G","ENSG00000148660","","calcium/calmodulin dependent protein kinase II gamma(CAMK2G)","Homo sapiens"
"CAMK2N1","ENSG00000162545","","calcium/calmodulin dependent protein kinase II inhibitor 1(CAMK2N1)","Homo sapiens"
"CAMKK1","ENSG00000004660","","calcium/calmodulin dependent protein kinase kinase 1(CAMKK1)","Homo sapiens"
"CAMKK2","ENSG00000110931","","calcium/calmodulin dependent protein kinase kinase 2(CAMKK2)","Homo sapiens"
"CAMKMT","ENSG00000143919","","calmodulin-lysine N-methyltransferase(CAMKMT)","Homo sapiens"
"CAMLG","ENSG00000164615","","calcium modulating ligand(CAMLG)","Homo sapiens"
"CAMP","ENSG00000164047","","cathelicidin antimicrobial peptide(CAMP)","Homo sapiens"
"CAMSAP1","ENSG00000130559","","calmodulin regulated spectrin associated protein 1(CAMSAP1)","Homo sapiens"
"CAMSAP3","ENSG00000076826","","calmodulin regulated spectrin associated protein family member 3(CAMSAP3)","Homo sapiens"
"CAMTA2","ENSG00000108509","","calmodulin binding transcription activator 2(CAMTA2)","Homo sapiens"
"CAND1","ENSG00000111530","","cullin associated and neddylation dissociated 1(CAND1)","Homo sapiens"
"CAND2","ENSG00000144712","","cullin associated and neddylation dissociated 2 (putative)(CAND2)","Homo sapiens"
"CANT1","ENSG00000171302","","calcium activated nucleotidase 1(CANT1)","Homo sapiens"
"CANX","ENSG00000127022","","calnexin(CANX)","Homo sapiens"
"CAP1","ENSG00000131236","","cyclase associated actin cytoskeleton regulatory protein 1(CAP1)","Homo sapiens"
"CAP1P1","ENSG00000240809","","CAP1 pseudogene 1(CAP1P1)","Homo sapiens"
"CAP1P2","ENSG00000232004","","CAP1 pseudogene 2(CAP1P2)","Homo sapiens"
"CAPG","ENSG00000042493","","capping actin protein, gelsolin like(CAPG)","Homo sapiens"
"CAPN1","ENSG00000014216","","calpain 1(CAPN1)","Homo sapiens"
"CAPN1-AS1","ENSG00000254614","","CAPN1 antisense RNA 1(CAPN1-AS1)","Homo sapiens"
"CAPN10","ENSG00000142330","","calpain 10(CAPN10)","Homo sapiens"
"CAPN10-DT","ENSG00000260942","","CAPN10 divergent transcript(CAPN10-DT)","Homo sapiens"
"CAPN12","ENSG00000182472","","calpain 12(CAPN12)","Homo sapiens"
"CAPN13","ENSG00000162949","","calpain 13(CAPN13)","Homo sapiens"
"CAPN15","ENSG00000103326","","calpain 15(CAPN15)","Homo sapiens"
"CAPN2","ENSG00000162909","","calpain 2(CAPN2)","Homo sapiens"
"CAPN3","ENSG00000092529","","calpain 3(CAPN3)","Homo sapiens"
"CAPN5","ENSG00000149260","","calpain 5(CAPN5)","Homo sapiens"
"CAPN7","ENSG00000131375","","calpain 7(CAPN7)","Homo sapiens"
"CAPN8","ENSG00000203697","","calpain 8(CAPN8)","Homo sapiens"
"CAPN9","ENSG00000135773","","calpain 9(CAPN9)","Homo sapiens"
"CAPN9-AS1","ENSG00000244137","","CAPN9 antisense RNA 1(CAPN9-AS1)","Homo sapiens"
"CAPNS1","ENSG00000126247","","calpain small subunit 1(CAPNS1)","Homo sapiens"
"CAPRIN1","ENSG00000135387","","cell cycle associated protein 1(CAPRIN1)","Homo sapiens"
"CAPRIN2","ENSG00000110888","","caprin family member 2(CAPRIN2)","Homo sapiens"
"CAPS","ENSG00000105519","","calcyphosine(CAPS)","Homo sapiens"
"CAPS2","ENSG00000180881","","calcyphosine 2(CAPS2)","Homo sapiens"
"CAPSL","ENSG00000152611","","calcyphosine like(CAPSL)","Homo sapiens"
"CAPZA1","ENSG00000116489","","capping actin protein of muscle Z-line subunit alpha 1(CAPZA1)","Homo sapiens"
"CAPZA2","ENSG00000198898","","capping actin protein of muscle Z-line subunit alpha 2(CAPZA2)","Homo sapiens"
"CAPZB","ENSG00000077549","","capping actin protein of muscle Z-line subunit beta(CAPZB)","Homo sapiens"
"CARD10","ENSG00000100065","","caspase recruitment domain family member 10(CARD10)","Homo sapiens"
"CARD11","ENSG00000198286","","caspase recruitment domain family member 11(CARD11)","Homo sapiens"
"CARD11-AS1","ENSG00000237286","","CARD11 antisense RNA 1(CARD11-AS1)","Homo sapiens"
"CARD14","ENSG00000141527","","caspase recruitment domain family member 14(CARD14)","Homo sapiens"
"CARD16","ENSG00000204397","","caspase recruitment domain family member 16(CARD16)","Homo sapiens"
"CARD19","ENSG00000165233","","caspase recruitment domain family member 19(CARD19)","Homo sapiens"
"CARD6","ENSG00000132357","","caspase recruitment domain family member 6(CARD6)","Homo sapiens"
"CARD8","ENSG00000105483","","caspase recruitment domain family member 8(CARD8)","Homo sapiens"
"CARD8-AS1","ENSG00000268001","","CARD8 antisense RNA 1(CARD8-AS1)","Homo sapiens"
"CARD9","ENSG00000187796","","caspase recruitment domain family member 9(CARD9)","Homo sapiens"
"CARF","ENSG00000138380","","calcium responsive transcription factor(CARF)","Homo sapiens"
"CARHSP1","ENSG00000153048","","calcium regulated heat stable protein 1(CARHSP1)","Homo sapiens"
"CARM1","ENSG00000142453","","coactivator associated arginine methyltransferase 1(CARM1)","Homo sapiens"
"CARMIL1","ENSG00000079691","","capping protein regulator and myosin 1 linker 1(CARMIL1)","Homo sapiens"
"CARMIL2","ENSG00000159753","","capping protein regulator and myosin 1 linker 2(CARMIL2)","Homo sapiens"
"CARNMT1","ENSG00000156017","","carnosine N-methyltransferase 1(CARNMT1)","Homo sapiens"
"CARNS1","ENSG00000172508","","carnosine synthase 1(CARNS1)","Homo sapiens"
"CARS1","ENSG00000110619","","cysteinyl-tRNA synthetase 1(CARS1)","Homo sapiens"
"CARS2","ENSG00000134905","","cysteinyl-tRNA synthetase 2, mitochondrial(CARS2)","Homo sapiens"
"CASC3","ENSG00000108349","","CASC3 exon junction complex subunit(CASC3)","Homo sapiens"
"CASD1","ENSG00000127995","","CAS1 domain containing 1(CASD1)","Homo sapiens"
"CASK","ENSG00000147044","","calcium/calmodulin dependent serine protein kinase(CASK)","Homo sapiens"
"CASKIN1","ENSG00000167971","","CASK interacting protein 1(CASKIN1)","Homo sapiens"
"CASKIN2","ENSG00000177303","","CASK interacting protein 2(CASKIN2)","Homo sapiens"
"CASP1","ENSG00000137752","","caspase 1(CASP1)","Homo sapiens"
"CASP10","ENSG00000003400","","caspase 10(CASP10)","Homo sapiens"
"CASP12","ENSG00000204403","","caspase 12 (gene/pseudogene)(CASP12)","Homo sapiens"
"CASP2","ENSG00000106144","","caspase 2(CASP2)","Homo sapiens"
"CASP3","ENSG00000164305","","caspase 3(CASP3)","Homo sapiens"
"CASP4","ENSG00000196954","","caspase 4(CASP4)","Homo sapiens"
"CASP5","ENSG00000137757","","caspase 5(CASP5)","Homo sapiens"
"CASP6","ENSG00000138794","","caspase 6(CASP6)","Homo sapiens"
"CASP9","ENSG00000132906","","caspase 9(CASP9)","Homo sapiens"
"CASQ2","ENSG00000118729","","calsequestrin 2(CASQ2)","Homo sapiens"
"CASS4","ENSG00000087589","","Cas scaffold protein family member 4(CASS4)","Homo sapiens"
"CASTOR1","ENSG00000239282","","cytosolic arginine sensor for mTORC1 subunit 1(CASTOR1)","Homo sapiens"
"CASTOR2","ENSG00000274070","","cytosolic arginine sensor for mTORC1 subunit 2(CASTOR2)","Homo sapiens"
"CASZ1","ENSG00000130940","","castor zinc finger 1(CASZ1)","Homo sapiens"
"CAT","ENSG00000121691","","catalase(CAT)","Homo sapiens"
"CATIP","ENSG00000158428","","ciliogenesis associated TTC17 interacting protein(CATIP)","Homo sapiens"
"CATIP-AS1","ENSG00000225062","","CATIP antisense RNA 1(CATIP-AS1)","Homo sapiens"
"CATSPER1","ENSG00000175294","","cation channel sperm associated 1(CATSPER1)","Homo sapiens"
"CATSPER2","ENSG00000166762","","cation channel sperm associated 2(CATSPER2)","Homo sapiens"
"CATSPERB","ENSG00000133962","","cation channel sperm associated auxiliary subunit beta(CATSPERB)","Homo sapiens"
"CAV1","ENSG00000105974","","caveolin 1(CAV1)","Homo sapiens"
"CAV2","ENSG00000105971","","caveolin 2(CAV2)","Homo sapiens"
"CAVIN1","ENSG00000177469","","caveolae associated protein 1(CAVIN1)","Homo sapiens"
"CAVIN2","ENSG00000168497","","caveolae associated protein 2(CAVIN2)","Homo sapiens"
"CAVIN3","ENSG00000170955","","caveolae associated protein 3(CAVIN3)","Homo sapiens"
"CBARP","ENSG00000099625","","CACN subunit beta associated regulatory protein(CBARP)","Homo sapiens"
"CBFA2T2","ENSG00000078699","","CBFA2/RUNX1 partner transcriptional co-repressor 2(CBFA2T2)","Homo sapiens"
"CBFA2T3","ENSG00000129993","","CBFA2/RUNX1 partner transcriptional co-repressor 3(CBFA2T3)","Homo sapiens"
"CBFB","ENSG00000067955","","core-binding factor subunit beta(CBFB)","Homo sapiens"
"CBL","ENSG00000110395","","Cbl proto-oncogene(CBL)","Homo sapiens"
"CBLB","ENSG00000114423","","Cbl proto-oncogene B(CBLB)","Homo sapiens"
"CBLC","ENSG00000142273","","Cbl proto-oncogene C(CBLC)","Homo sapiens"
"CBLL1","ENSG00000105879","","Cbl proto-oncogene like 1(CBLL1)","Homo sapiens"
"CBLL1-AS1","ENSG00000241764","","CBLL1 antisense RNA 1(CBLL1-AS1)","Homo sapiens"
"CBLN3","ENSG00000139899","","cerebellin 3 precursor(CBLN3)","Homo sapiens"
"CBR1","ENSG00000159228","","carbonyl reductase 1(CBR1)","Homo sapiens"
"CBR3","ENSG00000159231","","carbonyl reductase 3(CBR3)","Homo sapiens"
"CBR3-AS1","ENSG00000236830","","CBR3 antisense RNA 1(CBR3-AS1)","Homo sapiens"
"CBR4","ENSG00000145439","","carbonyl reductase 4(CBR4)","Homo sapiens"
"CBX1","ENSG00000108468","","chromobox 1(CBX1)","Homo sapiens"
"CBX2","ENSG00000173894","","chromobox 2(CBX2)","Homo sapiens"
"CBX3","ENSG00000122565","","chromobox 3(CBX3)","Homo sapiens"
"CBX4","ENSG00000141582","","chromobox 4(CBX4)","Homo sapiens"
"CBX5","ENSG00000094916","","chromobox 5(CBX5)","Homo sapiens"
"CBX6","ENSG00000183741","","chromobox 6(CBX6)","Homo sapiens"
"CBX7","ENSG00000100307","","chromobox 7(CBX7)","Homo sapiens"
"CBX8","ENSG00000141570","","chromobox 8(CBX8)","Homo sapiens"
"CBY1","ENSG00000100211","","chibby 1, beta catenin antagonist(CBY1)","Homo sapiens"
"CC2D1A","ENSG00000132024","","coiled-coil and C2 domain containing 1A(CC2D1A)","Homo sapiens"
"CC2D1B","ENSG00000154222","","coiled-coil and C2 domain containing 1B(CC2D1B)","Homo sapiens"
"CC2D2A","ENSG00000048342","","coiled-coil and C2 domain containing 2A(CC2D2A)","Homo sapiens"
"CCAR1","ENSG00000060339","","cell division cycle and apoptosis regulator 1(CCAR1)","Homo sapiens"
"CCAR2","ENSG00000158941","","cell cycle and apoptosis regulator 2(CCAR2)","Homo sapiens"
"CCBE1","ENSG00000183287","","collagen and calcium binding EGF domains 1(CCBE1)","Homo sapiens"
"CCDC102A","ENSG00000135736","","coiled-coil domain containing 102A(CCDC102A)","Homo sapiens"
"CCDC102B","ENSG00000150636","","coiled-coil domain containing 102B(CCDC102B)","Homo sapiens"
"CCDC106","ENSG00000173581","","coiled-coil domain containing 106(CCDC106)","Homo sapiens"
"CCDC107","ENSG00000159884","","coiled-coil domain containing 107(CCDC107)","Homo sapiens"
"CCDC112","ENSG00000164221","","coiled-coil domain containing 112(CCDC112)","Homo sapiens"
"CCDC117","ENSG00000159873","","coiled-coil domain containing 117(CCDC117)","Homo sapiens"
"CCDC12","ENSG00000160799","","coiled-coil domain containing 12(CCDC12)","Homo sapiens"
"CCDC120","ENSG00000147144","","coiled-coil domain containing 120(CCDC120)","Homo sapiens"
"CCDC121","ENSG00000176714","","coiled-coil domain containing 121(CCDC121)","Homo sapiens"
"CCDC124","ENSG00000007080","","coiled-coil domain containing 124(CCDC124)","Homo sapiens"
"CCDC125","ENSG00000183323","","coiled-coil domain containing 125(CCDC125)","Homo sapiens"
"CCDC126","ENSG00000169193","","coiled-coil domain containing 126(CCDC126)","Homo sapiens"
"CCDC127","ENSG00000164366","","coiled-coil domain containing 127(CCDC127)","Homo sapiens"
"CCDC13","ENSG00000244607,ENSG00000280571","","coiled-coil domain containing 13(CCDC13)","Homo sapiens"
"CCDC134","ENSG00000100147","","coiled-coil domain containing 134(CCDC134)","Homo sapiens"
"CCDC137","ENSG00000185298","","coiled-coil domain containing 137(CCDC137)","Homo sapiens"
"CCDC138","ENSG00000163006","","coiled-coil domain containing 138(CCDC138)","Homo sapiens"
"CCDC14","ENSG00000175455","","coiled-coil domain containing 14(CCDC14)","Homo sapiens"
"CCDC142","ENSG00000135637","","coiled-coil domain containing 142(CCDC142)","Homo sapiens"
"CCDC144A","ENSG00000266302","","coiled-coil domain containing 144A(CCDC144A)","Homo sapiens"
"CCDC144BP","ENSG00000273018","","coiled-coil domain containing 144B, pseudogene(CCDC144BP)","Homo sapiens"
"CCDC144NL-AS1","ENSG00000233098","","CCDC144NL antisense RNA 1(CCDC144NL-AS1)","Homo sapiens"
"CCDC146","ENSG00000135205","","coiled-coil domain containing 146(CCDC146)","Homo sapiens"
"CCDC149","ENSG00000181982","","coiled-coil domain containing 149(CCDC149)","Homo sapiens"
"CCDC152","ENSG00000198865","","coiled-coil domain containing 152(CCDC152)","Homo sapiens"
"CCDC157","ENSG00000187860","","coiled-coil domain containing 157(CCDC157)","Homo sapiens"
"CCDC159","ENSG00000183401","","coiled-coil domain containing 159(CCDC159)","Homo sapiens"
"CCDC167","ENSG00000198937","","coiled-coil domain containing 167(CCDC167)","Homo sapiens"
"CCDC17","ENSG00000159588","","coiled-coil domain containing 17(CCDC17)","Homo sapiens"
"CCDC174","ENSG00000154781","","coiled-coil domain containing 174(CCDC174)","Homo sapiens"
"CCDC18","ENSG00000122483","","coiled-coil domain containing 18(CCDC18)","Homo sapiens"
"CCDC180","ENSG00000197816","","coiled-coil domain containing 180(CCDC180)","Homo sapiens"
"CCDC183","ENSG00000213213","","coiled-coil domain containing 183(CCDC183)","Homo sapiens"
"CCDC183-AS1","ENSG00000228544","","CCDC183 antisense RNA 1(CCDC183-AS1)","Homo sapiens"
"CCDC186","ENSG00000165813","","coiled-coil domain containing 186(CCDC186)","Homo sapiens"
"CCDC187","ENSG00000260220","","coiled-coil domain containing 187(CCDC187)","Homo sapiens"
"CCDC188","ENSG00000234409","","coiled-coil domain containing 188(CCDC188)","Homo sapiens"
"CCDC191","ENSG00000163617","","coiled-coil domain containing 191(CCDC191)","Homo sapiens"
"CCDC200","ENSG00000236383","","coiled-coil domain containing 200(CCDC200)","Homo sapiens"
"CCDC22","ENSG00000101997","","CCC complex scaffolding subunit CCDC22(CCDC22)","Homo sapiens"
"CCDC24","ENSG00000159214","","coiled-coil domain containing 24(CCDC24)","Homo sapiens"
"CCDC25","ENSG00000147419","","coiled-coil domain containing 25(CCDC25)","Homo sapiens"
"CCDC28A","ENSG00000024862","","coiled-coil domain containing 28A(CCDC28A)","Homo sapiens"
"CCDC28B","ENSG00000160050","","coiled-coil domain containing 28B(CCDC28B)","Homo sapiens"
"CCDC3","ENSG00000151468","","coiled-coil domain containing 3(CCDC3)","Homo sapiens"
"CCDC32","ENSG00000128891","","coiled-coil domain containing 32(CCDC32)","Homo sapiens"
"CCDC34","ENSG00000109881","","coiled-coil domain containing 34(CCDC34)","Homo sapiens"
"CCDC40","ENSG00000141519","","coiled-coil domain 40 molecular ruler complex subunit(CCDC40)","Homo sapiens"
"CCDC43","ENSG00000180329","","coiled-coil domain containing 43(CCDC43)","Homo sapiens"
"CCDC47","ENSG00000108588","","coiled-coil domain containing 47(CCDC47)","Homo sapiens"
"CCDC50","ENSG00000152492","","coiled-coil domain containing 50(CCDC50)","Homo sapiens"
"CCDC51","ENSG00000164051","","coiled-coil domain containing 51(CCDC51)","Homo sapiens"
"CCDC57","ENSG00000176155","","coiled-coil domain containing 57(CCDC57)","Homo sapiens"
"CCDC59","ENSG00000133773","","coiled-coil domain containing 59(CCDC59)","Homo sapiens"
"CCDC6","ENSG00000108091","","coiled-coil domain containing 6(CCDC6)","Homo sapiens"
"CCDC61","ENSG00000104983","","coiled-coil domain containing 61(CCDC61)","Homo sapiens"
"CCDC65","ENSG00000139537","","coiled-coil domain containing 65(CCDC65)","Homo sapiens"
"CCDC66","ENSG00000180376","","coiled-coil domain containing 66(CCDC66)","Homo sapiens"
"CCDC68","ENSG00000166510","","coiled-coil domain containing 68(CCDC68)","Homo sapiens"
"CCDC69","ENSG00000198624","","coiled-coil domain containing 69(CCDC69)","Homo sapiens"
"CCDC7","ENSG00000216937","","coiled-coil domain containing 7(CCDC7)","Homo sapiens"
"CCDC71","ENSG00000177352","","coiled-coil domain containing 71(CCDC71)","Homo sapiens"
"CCDC71L","ENSG00000253276","","coiled-coil domain containing 71 like(CCDC71L)","Homo sapiens"
"CCDC73","ENSG00000186714","","coiled-coil domain containing 73(CCDC73)","Homo sapiens"
"CCDC74A","ENSG00000163040","","coiled-coil domain containing 74A(CCDC74A)","Homo sapiens"
"CCDC74B","ENSG00000152076","","coiled-coil domain containing 74B(CCDC74B)","Homo sapiens"
"CCDC77","ENSG00000120647","","coiled-coil domain containing 77(CCDC77)","Homo sapiens"
"CCDC78","ENSG00000162004","","coiled-coil domain containing 78(CCDC78)","Homo sapiens"
"CCDC8","ENSG00000169515","","coiled-coil domain containing 8(CCDC8)","Homo sapiens"
"CCDC80","ENSG00000091986","","coiled-coil domain containing 80(CCDC80)","Homo sapiens"
"CCDC82","ENSG00000149231","","coiled-coil domain containing 82(CCDC82)","Homo sapiens"
"CCDC85A","ENSG00000055813","","coiled-coil domain containing 85A(CCDC85A)","Homo sapiens"
"CCDC85B","ENSG00000175602","","coiled-coil domain containing 85B(CCDC85B)","Homo sapiens"
"CCDC85C","ENSG00000205476","","coiled-coil domain containing 85C(CCDC85C)","Homo sapiens"
